Top 2000 HathiTrust Open Titles, May 2014-May 2017


Title |  Uses | Publication Date
Modern fresh-air poultry houses; a new book on common sense housing of poultry--plans, dimensions and instructions for building open-front poultry houses and fresh-air equipment--fresh-air methods and open-air living--most practical and desirable for successful poultry keeping in all climates; | 14145 views | 1924
The New Near East. | 14128 views | 1922
The psychology of aggression. | 14120 views | 1961
The journals of Henry Melchior Muhlenberg. | 14108 views | 1958
The Meriden Britannia silver-plate treasury : the complete catalog of 1886-7 with 3,200 illustrations / | 14098 views | 1982
The Englishwoman's domestic magazine. | 14075 views | 1858
The true history of the conquest of Mexico / | 14072 views | 1966
History of old Pendleton district, | 14067 views | 1913
Network analysis and synthesis. | 14067 views | 1962
Codificación nacional de todas las leyes de Colombia desde el año de 1821, hecha conforme a la ley 13 de 1912. | 14063 views | 1835
NCRP report | 14027 views | 9999
Harper's weekly. | 14022 views | 1884
Genealogies cataloged by the Library of Congress since 1986 : with a list of established forms of family names and a list of genealogies converted to microform since 1983. | 14012 views | 1992
The grammar of ornament/ | 14003 views | 1856
Billiards as it should be played, | 13996 views | 1941
Tower packings and packed tower design. | 13985 views | 1953
Godey's magazine. | 13978 views | 1857
Historical report on the troop movements for the Second Battle of Manassas, August 28 through August 30, 1862 / | 13975 views | 1985
Modern practical masonry; a comprehensive treatise on the practice of the various branches of the craft, general, monumental, marble, and granite, for the use of craftsmen, students, teachers, builders, & architects; containing a full description of tools and machines; details and construction; hoisting and setting of stonework; principles of stone cutting; building stones and their classification; preservation of stone; geometry and setting out; costing and estimating; with a full glossary and index, | 13964 views | 1929
The original lists of persons of quality, emigrants, religious exiles, political rebels, serving men sold for a term of years, apprentices, children stolen, maidens pressed, and others, who went from Great Britain to the American plantations, 1600-1700. | 13963 views | 1874
Mansions of the soul; the cosmic conception, | 13958 views | 1930
The fighting tanks since 1916, | 13936 views | 1933
Economics of fashion / | 13934 views | 1928
Forerunner. | 13898 views | 1913
Die casting / | 13897 views | 1951
The campaign in Mesopotamia 1914-1918, | 13895 views | 1927
Lloyd's list. | 13882 views | 1798
Short cuts for round layouts; a textbook and working guide, with practical and modern methods for laying out and forming patterns for round and oblong fittings, T's, elbows, and hoods. Mathematical formulas applies to sheet-metal work. | 13881 views | 1947
The Columbia book of the use of yarns ... | 13881 views | 1904
Principles and practice of flow meter engineering, | 13880 views | 1949
How it's done ... hairstyles for you. | 13879 views | 1948
Drawing with pen and ink, and a word concerning the brush, | 13875 views | 1928
Military operations : East Africa / | 13851 views | 9999
The Akron story. | 13822 views | 1959
Words of the earth / | 13804 views | 1960
The will; its nature, power and development. | 13799 views | 1909
Nutcracker and Mouse-king. | 13799 views | 1853
L'Esposizione universale di Vienna del 1873 illustrata ... | 13797 views | 1874
Destroyers of World War Two : an international encyclopedia / | 13757 views | 1988
Hardware manufactured by P. & F. Corbin. | 13750 views | 1905
American women; report of the president's commission on the status of women. | 13738 views | 1963
Thomas Maxwell of Virginia and Georgia and his descendants. | 13733 views | 1956
The principles of scientific management / | 13732 views | 1911
Analysis of a complex of statistical variables into principal components / | 13731 views | 1933
Plan of Chicago | 13730 views | 1909
Amateur Radio Stations of the U.S. | 13723 views | 1923
The Saturday evening post. | 13718 views | 1922
Never leave well enough alone. [The personal record of an industrial designer] | 13700 views | 1951
12 million black voices; a folk history of the Negro in the United States. | 13677 views | 1941
The Ligon family and connections. | 13676 views | 1973
Godey's magazine. | 13655 views | 1859
Amateur Radio Stations of the U.S. | 13625 views | 1926
Godey's magazine. | 13619 views | 1895
History of Weymouth, Massachusetts. Published by the Weymouth historical society, Howard H. Joy, president. Under direction of the town. | 13603 views | 1923
History and genealogy of the Briggs family, 1254-1937... | 13601 views | 1938
A history of embryology. | 13572 views | 1959
A primer of Freudian psychology. | 13562 views | 1954
Building code of the city of New York. Effective January 1, 1938. | 13540 views | 1937
Atlanta, the metropolis of the South. | 13532 views | 1907
The muzzle-loading cap lock rifle / | 13503 views | 1952
Military situation in the Far East. | 13496 views | 1951
The other side of death, scientifically examined and carefully described, | 13495 views | 1903
General history of the things of New Spain : Florentine codex / | 13488 views | 1982
Colonial families of the United States descended from the immigrants who arrived before 1700, mostly from England and Scotland, and who are now represented by citizens of the following names, Bell, Beal, Bale, Beale, Beall, | 13486 views | 1929
Moody's analyses of railroad investments / | 13470 views | 1909
A List of the Officers of the Army and of the Corps of Royal Marines | 13467 views | 1811
Motorcycle illustrated. | 13461 views | 1914
Register of marriages and baptisms performed by Rev. John Cuthbertson. Covenanter minister. 1751-1791, with index to locations and persons visited, | 13454 views | 1934
Bradshaw's handbook for tourists in Great Britain & Ireland, (in four sections). | 13441 views | 1866
Forkner alphabet shorthand / | 13441 views | 1958
The Priscilla crochet book; a selection of useful articles from the Modern Priscilla with several new designs never before published; | 13431 views | 1908
Are wages too high? | 13425 views | 1922
Totius Latinitatis lexicon / | 13425 views | 1805
The Englishwoman's domestic magazine. | 13421 views | 1854
A thousand ways to please a family with Bettina's best recipes, | 13414 views | 1922
The Bible for school and home, | 13409 views | 1922
Beyond Sputnik : U.S. science policy in the twenty-first century / | 13393 views | 2008
The Skinner kinsmen, the descendants of Thomas Skinner of Malden, Mass. / | 13393 views | 1939
De expugnatione Lyxbonensi. The conquest of Lisbon. | 13391 views | 1936
Development of aircraft engines Two studies of relations between government and business. | 13390 views | 1950
Historical records of the 1st Devon Militia (4th Battalion the Devonshire Regiment) : with a notice of the 2nd and North Devon Militia regiments / | 13383 views | 1897
Some properties of the hypergeometric distribution with applications to zoological sample censuses. | 13363 views | 1951
The Coggeshalls in America; genealogy of the descendants of John Coggeshall of Newport, with a brief notice of their English antecedents, | 13360 views | 1930
Motorcycle illustrated. | 13355 views | 1908
The history of ancient Wethersfield, Connecticut : comprising the present towns of Wethersfield, Rocky Hill, and Newington, and of Glastonbury prior to its incorporation in 1693 : from date of earliest settlement until the present time / | 13344 views | 1904
Genealogy of the Cowles families in America ... | 13342 views | 1929
The Leisure hour; an illustrated magazine for home reading. | 13321 views | 1857
First record book of the "Old Dutch church of Sleepy Hollow," orgainized in 1697 and now the First Reformed church of Tarrytown, N.Y. ... | 13321 views | 1901
Puck : illustrirtes humoristisches Wochenblatt. | 13317 views | 1917
Twelve generations of Farleys, | 13308 views | 1943
Annual report of the Secretary of War. | 13305 views | 1877
Principles and techniques of applied mathematics | 13294 views | 1956
The Dial | 13289 views | 1922
The registers of the French Church, Threadneedle Street, London. | 13287 views | 1916
History of the Long family of Pennsylvania. | 13277 views | 1930
Model boat building, | 13265 views | 1942
The Bogart family: Tunis Gysbert Bogaert and his descendants. | 13259 views | 1959
Scammell's universal treasure-house of useful knowledge : an encyclopedia of valuable receipts in the principal arts of life, including complete treatises on practical chemistry, the prevention and cure of disease, household and culinary art, agriculture and stock-raising, the mechanical arts, mercantile life and laws, arts of refinement, recreations, etc. / | 13257 views | 1889
American Kenyons : history of Kenyons and English connections of American Kenyons, genealogy of the American Kenyons of Rhode Island, miscellaneous Kenyon material / | 13236 views | 1935
Adventures of an army nurse in two wars; ed. from the diary and correspondence of Mary Phinney, baroness von Olnhausen, | 13219 views | 1903
Cavaliers and pioneers; abstracts of Virginia land patents and grants, 1623-1800. | 13203 views | 1999
Aircraft propeller design, | 13200 views | 1930
Illustrated catalogue of the Oil Well Supply Co., Pittsburgh, Pa., also Bradford, Oil City, Pa., and New York City, U.S.A. | 13199 views | 1900
Zubdat al-muntakhibīn, [mid 19th century]. | 13180 views | 1860
Familias faialenses. (Subsidios para a história da Ilha do Faial) | 13171 views | 1922
Genealogical and historical notes on Culpeper County, Virginia. | 13170 views | 1900
The Wipers Times; a facsimile reprint of the trench magazines: the Wipers times, the New Church times, the Kemmel times, the Somme times, the B. E. F. times. | 13131 views | 1918
A new Latin syntax. | 13126 views | 1959
The power of concentration / | 13122 views | 1918
Not guilty: a defense of the bottom dog. | 13106 views | 1913
L'illustration : journal universel. | 13103 views | 1863
Harper's bazaar | 13082 views | 1920
Armenian-American veterans of World War II / | 13066 views | 1951
Introduction to the theory of neutron diffusion | 13046 views | 9999
The Metco metallizing handbook, | 13035 views | 1951
Artistic anatomy, | 13013 views | 1939
The clothing of the ancient Romans, | 13005 views | 1938
Harper's bazaar | 12966 views | 1916
The descendants of Matthias Hatfield, | 12965 views | 1954
The tragedy of American diplomacy. | 12958 views | 1962
Critical care physiology | 12955 views | 2010
The Maryland Semmes and kindred families; a genealogical history of Marmaduke Semme(s), gent., and his descendants, including the allied families of Greene, Simpson, Boarman, Matthews, Thompson, Middleton, and Neale. | 12951 views | 1956
Guide to forecasting travel demand with direct utility assessment / | 12941 views | 1982
Catalog of copyright entries. | 12927 views | 1958
Harper's magazine. | 12922 views | 1899
Psychology; or, A view of the human soul; including anthropology, | 12880 views | 1844
Helpful hints and advice to employees to help them grasp the opportunities which are presented to them by the Ford profit-sharing plan. | 12874 views | 1915
Anthology of Japanese literature, from the earliest era to the mid-nineteenth century. | 12854 views | 1955
Glossarium ad scriptores mediae et infimae Latinitatis / | 12846 views | 1736
The drafting of the Covenant, | 12829 views | 1928
Annual report. | 12823 views | 1861
Dress regulations for the officers of the army (including the militia) War Office, 1904. | 12782 views | 1904
William Penn and the Dutch Quaker migration to Pennsylvania, | 12775 views | 1935
The Grenadier Guards in the war of 1939-1945, | 12774 views | 1949
Lloyd's list. | 12774 views | 1802
The national watercraft collection. | 12760 views | 1960
Motorcycle illustrated. | 12759 views | 1913
Colección de los viajes y descubrimientos que hicieron por mar los españoles desde fines del siglo XV : con varios documentos inéditos concernientes á la historia de la marina castellana y de los establecimientos españoles en Indias / | 12745 views | 1829
How to pose the model / | 12719 views | 1956
Barksdale family history and genealogy (with collateral lines) | 12711 views | 1940
Better dressmaking, | 12701 views | 1943
McClure's magazine. | 12700 views | 1902
The history and descendants of John and Sarah Reynolds : 1630?-1923 : of Watertown, Mass., and Wethersfield, Stamford and Greenwich, Conn. / | 12682 views | 1924
Baking science and technology, | 12679 views | 1952
History of Stratford, Connecticut, 1639-1939 / | 12675 views | 1939
Puck. | 12669 views | 1886
Designing and decorating clothes. Designing and planning clothes. Dress decoration and ornament. | 12667 views | 1930
Instruction manual for the "No. 12" De Laval cream separator / | 12660 views | 1920
Theory of land locomotion; the mechanics of vehicle mobility. | 12658 views | 1956
Fundamentals of soil mechanics. | 12654 views | 1948
Genealogy of Wilkinson and kindred families. | 12653 views | 1949
Air Force register. | 12648 views | 1969
Harper's weekly. | 12648 views | 1899
[Publications] | 12644 views | 9999
Toward a more responsible two-party system, a report. | 12639 views | 1950
A.S.M.E. standard operation and flow process charts, | 12632 views | 1947
Proceedings of the ... Annual Meeting of the Western Society for French History. | 12625 views | 1999
American language course : volume 2200, intermediate phase, student text. | 12615 views | 1984
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office. [2d ser.] / | 12615 views | 1898
Album studiosorum Academiae lugduno batavae MDLXXV-MDCCCLXXV; accedunt nomina curatorum et professorum per eadem secula. | 12609 views | 1875
The theory of the potential, | 12607 views | 1930
Collier's. | 12605 views | 1903
The artist's technique of violin playing = Die Künstlertechnik des Violinspiels : a new scientific method for obtaining, in the shortest possible time, an absolute mastery of the higher technical difficulties of the left hand and of the bow : op. 12 / | 12596 views | 1921
Collier's. | 12586 views | 1916
Lloyd's list. | 12578 views | 1814
Five years on the Erie Canal: an account of some of the most striking scenes and incidents, during five years' labor on the Erie Canal, and other inland waters, | 12572 views | 1845
Wise fools in Shakespeare. | 12571 views | 1955
The application of tensors to the analysis of rotating electrical machinery : parts I-XVI, Elementary engineering treatment / | 12564 views | 1938
History of the Kip family in America, | 12564 views | 1928
AAHPER youth fitness test manual. | 12558 views | 1958
The conveyance process : a supplement to the final report of the United States Railway Association. | 12551 views | 1986
Origin of Washington geographic names, | 12529 views | 1923
The Ladies' home journal. | 12526 views | 1921
Peter Jones and Richard Jones genealogies, | 12513 views | 1924
The Morrison family of the Rocky River settlement of North Carolina; history and genealogy | 12510 views | 1950
The Mascoutens or Prairie Potawatomi Indians | 12489 views | 1927
Our family circle / | 12487 views | 1931
Theory of hydrodynamic lubrication / | 12483 views | 1961
The Official railway equipment register. | 12471 views | 1917
The biochemic system of medicine : comprising the theory, pathological action, therapeutical application, materia medica, and repertory of the twelve biochemic remedies based on the discoveries of Dr. W.H. Schuessler / | 12448 views | 1930
Introduction to kinesics, an annotation system for analysis of body motion and gesture. | 12446 views | 1952
Marine engineering & shipping age. | 12437 views | 1922
The school and society, | 12428 views | 1915
Designing for people. | 12428 views | 1955
History of Bridgewater, Maine. | 12423 views | 1953
[Publications] | 12412 views | 9999
A transcript of the registers of the company of stationers of London; 1554-1640, A. D. | 12400 views | 1894
Modern architecture; international exhibition, New York, Feb. 10 to March 23, 1932, Museum of modern art. | 12396 views | 1932
Derbyshire visitation pedigrees 1569 and 1611. | 12395 views | 1895
'Tis pity she's a whore, and The broken heart, | 12395 views | 1915
The Popular science monthly. | 12387 views | 1918
Fraser's magazine for town and country. | 12384 views | 1850
The truth about eye exercises. | 12352 views | 1956
Roster of the survivors of the 1st, 5th, 6th and 7th cavalry regiments of Michigan, constituting the Custer Michigan Cavalry Brigade, 1863-1865. | 12345 views | 1912
Lloyd's list. | 12318 views | 1816
Some reasons for Chinese exclusion. Meat vs. rice. American manhood against Asiatic coolieism. Which shall survive? | 12310 views | 1901
The effects of strategic bombing on German morale | 12307 views | 1947
Dawes-Gates ancestral lines. A memorial volume ... | 12291 views | 1943
The Colored American magazine. | 12286 views | 1902
The technology and chemistry of alkaloids / | 12285 views | 1950
Colorimetric determination of traces of metals | 12285 views | 1944
Chemicals in war : a treatise on chemical warfare / | 12281 views | 1937
Manual for the arrangement and description of archives : drawn up by direction of the Netherlands Association of Archivists / | 12272 views | 2003
Motor. | 12269 views | 1905
An account of the slave trade on the coast of Africa. | 12260 views | 1788
Adair history and genealogy, | 12259 views | 1924
Clay figurines of Babylonia and Assyria, | 12252 views | 1930
Classics old and new : a series of school readers : A third reader / | 12247 views | 1906
Rudder. | 12236 views | 1902
Peterson's magazine | 12233 views | 1892
Calendar of inquisitions miscellaneous, Chancery, preserved in the Public Record Office, | 12225 views | 9999
The Saturday evening post. | 12223 views | 1922
The teacher's word book of 30,000 words / | 12211 views | 1944
Genealogical and historical notes on Culpeper county, Virginia. | 12200 views | 1900
Boyd's Newport city directory with a business directory of the trades and professions, state and city record and an appendix of much useful information. | 12198 views | 1872
The genealogy of the Holtzclaw family, 1540-1935, | 12181 views | 1936
Travel agency policies and procedures manual / | 12180 views | 1988
The Saturday evening post. | 12161 views | 1917
Lloyd's list. | 12144 views | 1808
Bradshaw's handbook for tourists in Great Britain & Ireland, (in four sections). | 12138 views | 1866
Illustrated catalogue of hand and power pumps, hydrants, etc. | 12137 views | 1903
Harman genealogy (southern branch) with biographical sketches, 1700-1924, | 12129 views | 1925
The Birth control review. | 12128 views | 1919
Higher education for American democracy, a report. | 12124 views | 1947
Fuehrer conferences on matters dealing with the German Navy, 1939-[1945] | 12120 views | 1947
Doggett's New-York City directory, for . | 12118 views | 1851
Basic electricity / | 12117 views | 1961
Asian odyssey | 12117 views | 1940
The history of the Pollard family of America. | 12100 views | 1965
Report of the Inter-departmental committee on physical deterioration. | 12095 views | 1904
Pistol Pete, veteran of the Old West. | 12094 views | 1952
Bradshaw's handbook for tourists in Great Britain & Ireland, (in four sections). | 12081 views | 1866
History of Bedford, Somerset, and Fulton counties, Pennsylvania : with illustrations and biographical sketches of some of its pioneers and prominent men. | 12064 views | 1884
The effects of strategic bombing on the German war economy. | 12059 views | 1945
Sample forms for archival and records management programs. | 12050 views | 2002
Libros quinque adversus haereses; [Greek and Latin]... | 12048 views | 1857
Random vibration in mechanical systems / by Stephen H. Crandall and William D. Mark. | 12025 views | 1963
Monumenta Ignatiana, ex autographis vel ex antiquioribus exemplis collecta. Series quarta. Scripta de sancto Ignatio de Loyola, Societatis Jesu fundatore. | 12023 views | 9999
A history of Scioto County, Ohio, together with a pioneer record of Southern Ohio, | 12011 views | 1903
The Saturday evening post. | 12004 views | 1921
Methods and materials of painting of the great schools and masters. | 12001 views | 1960
Theories of personality | 11982 views | 1957
The chemical formulary; a condensed collection of valuable, timely, practical formulae for making thousands of products in all fields of industry. | 11980 views | 9999
The Colored American magazine. | 11979 views | 1902
The church and the Jews in the XIIIth century; a study of their relations during the years ll98-1254 based on the papal letters and the conciliar decrees of the periods, | 11979 views | 1933
The statutes of the realm : Printed by command of his majesty King George the Third, in pursuance of an address of the House of Commons of Great Britain. From original records and authentic manuscripts / | 11964 views | 1828
A history of the town of Middlefield, Massachusetts, | 11959 views | 1924
I must have liberty / | 11948 views | 1940
The homosexual in America : a subjective approach / | 11945 views | 1955
Mammy : a century of race, gender, and Southern memory / | 11942 views | 2008
The Naval Institute guide to world naval weapons systems / | 11935 views | 1989
The curious lore of precious stones : being a description of their sentiments and folk lore, superstitions, symbolism, mysticism, use in medicine, protection, prevention, religion, and divination, crystal gazing, birthstones, lucky stones and talismans, astral, zodiacal and planetary / | 11931 views | 1913
Gazetteer of the Persian Gulf, 'Oman, and Central Arabia. | 11928 views | 1915
Motorcycle illustrated. | 11922 views | 1912
En ci yin sheng tong guan chi lu. | 11922 views | 1875
White family records : descendants of Peregrine White, son of William and Susanna (Fuller) White, 1620 to 1939 / | 11913 views | 1939
Essay on the generative principle of political constitutions / | 11909 views | 1847
Lloyd's list. | 11887 views | 1818
History of Burlington and Mercer counties, New Jersey, with biographical sketches of many of their pioneers and prominent men / | 11885 views | 1883
Trees of Arkansas. | 11884 views | 1950
Plastic analysis of structures / | 11869 views | 1959
The home of beauty; | 11851 views | 1920
Refrigeration in America; a history of a new technology and its impact. | 11846 views | 1953
Synthesis of feedback systems / Isaac M. Horowitz. | 11845 views | 1963
Hydrodynamics in ship design. | 11842 views | 1965
Die design fundamentals; a step-by-step introduction to the design of stamping dies including material, punches, die sets, stops, strippers, gages, pilots and presses. | 11835 views | 9999
L'illustration : journal universel. | 11831 views | 1856
Plane and spherical trigonometry with applications, | 11816 views | 1943
Christopher Columbus and the discovery of the new world, in words of one syllable ... | 11812 views | 1899
Monthly labor review / | 11789 views | 1920
Catalog of copyright entries. | 11782 views | 1973
Lloyd's list. | 11767 views | 1752
Calendar of the charter rolls preserved in the Public Record Office | 11764 views | 1927
Motorcycle illustrated. | 11761 views | 1916
The Roman toga, | 11748 views | 1924
[Cherokee New Testament]. | 11736 views | 1860
Annual report of the Great Northern Railway Company. | 11727 views | 1912
The lady and the Tigers, | 11720 views | 1943
Ohio in the Rainbow; official story of the 166th infantry, 42nd division, in the world war, | 11712 views | 1924
Scientific glassblowing ; with a pref. by G. Ross Robertson. | 11709 views | 1958
Development of general formulas for bolted flanges, | 11696 views | 1949
The Hetrick family, 1651-1955 : historical and biographical sketch of the Hedderich, Heddrich, Hedrick, Heidenrich, Heidrich, Hetrich, Hetrick family / | 11694 views | 1955
Godey's magazine. | 11688 views | 1855
Instructions for setting-up and operating the Fellows spur and helical gear shapers; a handbook for the exclusive use of operators ... | 11682 views | 1917
Old Schuylkill tales; a history of interesting events, traditions and anecdotes of the early settlers of Schuylkill County, Pennsylvania, | 11661 views | 1906
The Paynes of Virginia / | 11657 views | 1937
Descendants of William Sherman of Marshfield, Massachusetts / | 11657 views | 1936
Thermoelectricity: science and engineering [by] Robert R. Heikes and Roland W. Ure, Jr., with the collaboration of Stephen J. Angello [and others] | 11651 views | 1961
L'illustration : journal universel. | 11648 views | 1853
The colonial laws of Massachusetts : reprinted from the edition of 1672 with the supplements through 1686 : containing also a bibliographical preface and introduction treating of all the printed laws from 1649 to 1686 : together with the Body of Liberties of 1641, and the records of the Court of Assistants, 1641-1644 / | 11648 views | 1890
Motorcycle illustrated. | 11646 views | 1912
Gordons of the Deep South. | 11646 views | 1961
Register of the commissioned and warrant officers of the United States Navy and Marine Corps and reserve officers on active duty. | 11641 views | 1970
Terracotta lamps, | 11639 views | 1930
Standards of Heat exchange institute. Steam jet ejector and vacuum cooling section ... | 11638 views | 1947
Gazetteer of the Persian Gulf, 'Oman, and Central Arabia. | 11623 views | 1915
Extrapolation, interpolation, and smoothing of stationary time series, with engineering applications. | 11621 views | 1950
Annual report of the Atchison, Topeka & Santa Fe Railway Company for ... | 11617 views | 1920
Narrative of the life of Frederick Douglass, an American slave / | 11612 views | 1849
Handbook of textile testing and quality control / | 11601 views | 1960
Out of the depths, or, The triumph of the cross / | 11595 views | 1927
Prodigal genius; the life of Nikola Tesla, | 11586 views | 1944
A lexicon of St. Thomas Aquinas based on the Summa theologica and selected passages of his other works, / | 11576 views | 9999
Some memories of a soldier / | 11562 views | 1928
Boxes for the protection of rare books : their design & construction / | 11560 views | 1982
Management and organization. | 11552 views | 1958
Introduction to solids / | 11548 views | 1960
L'illustration : journal universel. | 11546 views | 1855
Automatic record changers and recorders, | 11525 views | 1941
Interfaces : women, autobiography, image, performance / | 11525 views | 2002
The jungle book. | 11506 views | 1909
Lloyd's list. | 11496 views | 1826
The Madras new almanac for 1853; with a general directory and register for Madras, Calcutta and Bombay. | 11488 views | 1853
The history of ancient Wethersfield, Connecticut : comprising the present towns of Wethersfield, Rocky Hill, and Newington, and of Glastonbury prior to its incorporation in 1693 : from date of earliest settlement until the present time / | 11484 views | 1904
The complete works of Horace : the original text reduced to the natural English order, with a literal interlinear translation. | 11480 views | 1894
The Saturday evening post. | 11471 views | 1918
History of Ulster County, New York : with illustrations and biographical sketches of its prominent men and pioneers / | 11469 views | 1880
Handbook of instruction for operators of Burroughs adding and listing machines. | 11463 views | 1911
The secret of success, | 11452 views | 1908
Scholarly journals at the crossroads : a subversive proposal for electronic publishing / | 11444 views | 1995
"Sister"; the war diary of a nurse. | 11435 views | 1927
A psychiatric study of fairy tales: their origin, meaning, and usefulness. | 11431 views | 1963
The United States Strategic Bombing Survey: over-all report (European war) | 11429 views | 1945
History of Eloise : Wayne County house, Wayne County asylum. | 11424 views | 1913
Peterson's magazine | 11423 views | 1892
Washburn family foundations in Normandy, England, and America. | 11411 views | 1954
The history and genealogy of the Patchin-Patchen family. | 11403 views | 1952
Who's who in Louisiana and Mississippi : biographical sketches of prominent men and women of Louisiana and Mississippi. | 11400 views | 1918
Pennsylvania German pioneers; a publication of the original lists of arrivals in the port of Philadelphia from 1727 to 1808, | 11398 views | 1934
Abstracts of the records of Onslow County, North Carolina, 1734-1850. | 11392 views | 1961
The divinity of the Roman emperor, | 11390 views | 1931
Genealogical and biographical notices of descendants of Sir John Wright of Kelvedon Hall, Essex, England : in America, Thomas Wright, of Wethersfield, Conn., Dea. Samuel Wright, of Northampton, Mass., 1610-1670, 1614-1665 / | 11388 views | 1996
[Publications] | 11385 views | 9999
Nuclear radiation detection. | 11384 views | 1958
Genealogy of the Downing family and immediate collateral relations: | 11362 views | 1901
Electrical engineering circuits. | 11360 views | 1957
Preserving archives and manuscripts / | 11360 views | 1993
The Arnold memorial; William Arnold of Providence and Pawtuxet, 1587-1675, and a genealogy of his descendants, | 11353 views | 1935
Selected values of thermodynamic properties of metals and alloys, | 11351 views | 1963
Clerical dress and insignia of the Roman Catholic Church. | 11341 views | 1948
Official records of the Australian military contingents to the War in South Africa, | 11338 views | 1911
Wörterbuch zum Rig-Veda. | 11336 views | 1873
Non-Newtonian calculus | 11336 views | 1972
Roll pass design ... | 11335 views | 9999
Lloyd's list. | 11330 views | 1794
Paleontology of the marine Tertiary formations of Oregon and Washington, | 11322 views | 1943
Letters of a Russian traveler, 1789-1790 : an account of a young Russian gentleman's tour through Germany, Switzerland, France and England. | 11312 views | 1957
A Burch book, comprising a general study of the Burch ancestry in America, and a specific record of the descendants of Jonathan Burch of the sixth generation, and his good wife Sally Hosford, to which has been added a department of other Burch families. | 11308 views | 1925
Report of the Commission appointed by Governor C. C. Young to investigate the causes leading to the failure of the St. Francis dam near Saugus, California ... | 11300 views | 1928
Tramping and trailing with the Girl scouts, | 11299 views | 1927
The Saturday evening post. | 11299 views | 1900
Pacific motor boat. | 11298 views | 1916
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 11294 views | 1968
McClure's magazine. | 11293 views | 1903
Earth pressures and retaining walls. | 11292 views | 1957
Port of New York : essays on fourteen American moderns / | 11284 views | 1924
The secret adversary, | 11284 views | 1922
The London stage, 1660-1800; a calendar of plays, entertainments & afterpieces, together with casts, box-receipts and contemporary comment. | 11283 views | 1968
Mecmua-yı münşeat-ı Feridun Bey. | 11279 views | 1858
Calendar of the close rolls preserved in the Public Record Office. | 11260 views | 1941
Pie marches on, | 11246 views | 1951
The Illustrated exhibitor, a tribute to the world's industrial jubilee; | 11246 views | 1851
Railroad gazette. | 11242 views | 1902
The Saturday evening post. | 11242 views | 1920
The economy of prostitution in the Roman world : a study of social history and the brothel / | 11241 views | 2004
En yin tong nian chi lu. | 11239 views | 1851
Standard x-ray diffraction powder patterns / | 11212 views | 9999
La Santa Biblia : traducida al español de la vulgata latina y anotada conforme al sentido de los santos padres y espositores católicos / | 11205 views | 1854
Air commerce bulletin. | 11202 views | 1929
Hopousia; | 11199 views | 1940
Pilling instruments and equipment for surgeons and hospitals. [Catalog] | 11193 views | 1932
Patrologiae cursus completus, seu bibliotheca universalis ... omnium S. S. patrum, doctorum scriptorumque ecclesiasticorum ... ab aevo apostolico ... ad Photii tempora (ann. 863) ... Series Graeca. | 11187 views | 1866
Puck : illustrirtes humoristisches Wochenblatt. | 11182 views | 1880
Lessons in the art of facial expression : profusely illustrated with original designs prepared expressly for this work with a full system of personations / | 11180 views | 1889
Lloyd's register of British and foreign shipping. | 11180 views | 1778
White collar crime. | 11179 views | 1949
The Illustrated London news. | 11171 views | 1851
The national cookbook, a kitchen Americana, | 11166 views | 1932
An introduction to urban travel demand forecasting : a self-instructional text / | 11164 views | 1977
The abridged compendium of American genealogy; first families of America; a genealogical encyclopedia of the United States, | 11162 views | 9999
Railroad gazette. | 11160 views | 1901
How the vote was won : a play in one act / | 11159 views | 1910
Schermerhorn genealogy and family chronicles, | 11158 views | 1914
Shoemaker pioneers : a guide to the Shoemaker families of Colonial America / | 11156 views | 1955
Eames-Ames genealogy; descendants of Robert of Woburn and Thomas of Framingham, Massachusetts, 1634-1931, | 11152 views | 1931
Colonial families of the United States of America, in which is given the history, genealogy and armorial bearings of colonial families who settled in the American colonies from the time of the settlement of Jamestown, 13th May, 1607, to the battle of Lexington, 19th April, 1775; | 11132 views | 1907
The struggle for Transcaucasia, 1917-1921 / | 11131 views | 1951
Retail prices. | 11127 views | 1941
Graham's magazine. | 11118 views | 1841
Modern sex techniques / | 11116 views | 1959
McClure's magazine. | 11108 views | 1903
English sentence patterns : understanding and producing grammatical structures : an oral approach / | 11100 views | 1958
Register of the commissioned and warrant officers of the United States Navy and Marine Corps and reserve officers on active duty. | 11093 views | 1945
The General stud book, containing pedigrees of race horses from earliest accounts. | 11087 views | 1858
Sacrorum conciliorum nova et amplissima collectio, cujus Johannes Dominicus Mansi et post ipsius mortem Florentius et Venetianus editores ab anno 1758 ad annum 1798 priores triginta unum tomos ediderunt, nunc autem continuatat et absoluta : tomus 0, 1-53. | 11087 views | 1903
How the other half lives : studies among the tenements of New York / | 11081 views | 1914
Report of the commanding general of the Army air forces to the secretary of war. | 11080 views | 1945
The Saturday evening post. | 11078 views | 1917
Motorcycle illustrated. | 11073 views | 1916
The jungle book. | 11070 views | 9999
Ending the depression through planned obsolescence, | 11062 views | 1932
Incidents in the life of a slave girl. | 11058 views | 1861
Godey's magazine. | 11046 views | 1870
Vacuum deposition of thin films / | 11041 views | 1958
Americans of royal descent / | 11037 views | 1883
Broadmoor Bungalow book : a collection of the latest and best designs / | 11031 views | 1915
Wappenbuch. | 11028 views | 1970
Applied mathematics for engineers and physicists, | 11026 views | 1946
