Top 2000 HathiTrust Closed Titles, May 2014-May 2017


Title |  Attempted Uses | Publication Date
The complete Newgate calendar : being Captain Charles Johnson's General history of the lives and adventures of the most famous highwaymen, murderers, street-robbers and account of the voyages and plunders of the most notorious pyrates, 1734 ... etc. / | 315 views | 1925
Quadratic and linear tables / | 314 views | 1927
The Old Franklin almanac for . | 314 views | 9999
Esther Cameron's story : a tale of life and influence / | 313 views | 1976
The Ladies' home journal. | 313 views | 1923
A short account of canteens in the British army, | 313 views | 1928
Royal correspondence of the Assyrian empire, | 312 views | 1936
The home of mankind; the story of the world we live in. | 311 views | 1936
Marriage and death notices from Seneca County, New York newspapers, 1817-1885 / | 311 views | 1997
Calendar of the Fine rolls preserved in the Public record office. | 311 views | 9999
Calendar of inquisitions post mortem and other analogous documents preserved in the Public Record Office / | 311 views | 9999
Werke / | 310 views | 9999
Juzìyāt shikanjah-i sih pāsdār-i shahīd-i Kumītah-i Markazī-i Inqilāb-i Islāmī bi-dast-i munāfiqīn. | 310 views | 1363
Snapshots of a daughter-in-law : poems, 1954-1962. | 309 views | 1963
Die Weltbühne. | 309 views | 1925
Collected mathematical papers. | 308 views | 1950
The analysis of biological data / | 308 views | 2009
Die Weltbühne. | 308 views | 1932
Scottish folk-lore and folk life; studies in race, culture and tradition, | 308 views | 1935
The West End of yesterday & today : being studies in London's history and topography during the past century / | 308 views | 1926
Special monograph. | 308 views | 9999
Alain Resnais / | 308 views | 1978
Monthly catalog of the United States government publications. | 307 views | 1950
The land of the frozen tide, by Louise Rourke. | 307 views | 1928
Spanish and Portuguese translations of United States books, 1955-1962; a bibliography. | 307 views | 1963
World war records : First division, A.E.F., regular. | 307 views | 1928
The Greek myths. | 307 views | 1957
The evolution of man : essays / | 307 views | 1924
Proceedings of Lunar and Planetary Exploration Colloquium | 306 views | 1963
Mammalian hibernation; proceedings. | 306 views | 1960
Myths from Melanesia and Indonesia, | 306 views | 1930
Regulation of stock ownership in railroads. | 306 views | 1931
Female pipings in Eden, | 305 views | 1934
Bibliography of the Japanese Empire 1906-1926; being a classified list of the literature issued in European languages since the publication of Fr. von Wencksterns̓ "Bibliography of the Japanese Empire", up to the year 1926, | 305 views | 1928
Ashanti law and constitution, | 304 views | 1929
This was England; manners and customs of the ancient Victorians: a survey in pictures and text of their history, morals, wars, inventions, sports, heroes and social and sexual distinctions between 1870-1900, | 304 views | 1931
Pattern, a study of ornament in western Europe from 1180 to 1900, | 304 views | 1931
Hydrologic data / | 304 views | 1977
Vital records of Swansea, Massachusetts to 1850 / | 302 views | 1992
Acts and resolutions of Puerto Rico. | 302 views | 1952
Plutarch's lives / | 302 views | 1924
Conjugate functions for engineers : a simple exposition of the Schwarz-Christoffel transformation applied to the solution of problems involving two-dimensional fields of force and flux / | 302 views | 1933
A victim of the Falk laws the adventures of a German priest in prison and in exile told by the victim. | 300 views | 1879
Exercises in practical physics, | 299 views | 1942
Building craftsmanship in brick and tile and in stone plates / | 299 views | 1929
Bulletin de l'Institut historique belge de Rome. | 299 views | 2007
Privilege, power, and difference / | 298 views | 2006
Oceanography; its tools, methods, resources and applications. Volume I, | 298 views | 1961
Lafayette in Virginia; unpublished letters from the original manuscripts in the Virginia State Library and the Library of Congress. | 298 views | 1928
English lyrics of the XIIIth century, | 297 views | 1932
Tito's plot against Europe; the story of the Rajk conspiracy. | 297 views | 1950
On the edge of evening; the autobiography of a teacher and writer who holds to the old ways, | 297 views | 1946
Exeter, Truro and the west, | 297 views | 1925
Morocco; | 297 views | 1908
The internal combustion engine ... | 297 views | 1937
Traditions and stories of Scottish castles / | 297 views | 1927
Tension wood in Canadian hardwoods / | 296 views | 1964
The astrolabes of the world, | 296 views | 1932
Timothy Richard of China : seer, statesman, missionary & the most disinterested advisor the Chinese ever had / | 296 views | 1924
Monthly catalog of the United States government publications. | 295 views | no valid date
Analecta bollandiana. | 295 views | 9999
Labrador looks at the Orient : notes of travel in the Near and the Far East / | 295 views | 1928
Democracy and leadership, | 295 views | 1924
The gardens at Brockhurst, East Grinstead / | 295 views | 1924
The Kelsey papers, | 295 views | 1929
In the Chinese customs service : a personal record of forthy-seven years / | 295 views | 1924
Aerostation, a catalogue of books & engravings illustrating the evolution of the airship & the aeroplane from the year 1638 to 1935 (arranged in chronological order) ... | 293 views | 1940
TV world. | 293 views | 1997
Risk, uncertainty and profit. | 293 views | 1957
Dīvān-i Niẓām al-Dīn Maḥmūd Qamar Iṣfahānī. | 292 views | 1363
Cases in Akan law; decisions delivered by the Honourable Nana Sir Ofori Atta, K.B.E., omanhene (paramount chief) of Akim Abuakwa ... | 292 views | 1928
An outline of the history of central New Brunswick to the time of confederation, | 292 views | 1937
Deutsches Geschlechterbuch (Genealogishes Handbuch Burgerlicher Familien) | 291 views | no valid date
Dutchess County, NY tax lists, 1718-1787 / | 291 views | 1991
Dame Madge Kendal, | 291 views | 1933
Music, classical, romantic & modern / | 290 views | 1927
Boletín de artes visuales. | 290 views | 1970
The wonderful weald and the quest of the crock of gold, | 290 views | 1924
Physical disability, a psychosocial approach / | 289 views | 1983
The study of rocks / | 289 views | 1931
Final report on total and partial unemployment, 1937. | 288 views | 1938
Main drainage of London. Descriptive account, | 288 views | 1930
xxth century stage decoration, | 287 views | 1928
The Industrial pioneer. | 287 views | 1926
The Victoria history of the county of Warwick. | 287 views | 9999
Kʻoria misyŏn pʻildŭ = the Korea mission field. | 287 views | 1941
Mark Rothko, | 286 views | 1961
Special monograph. | 286 views | 9999
Unpublished letters from the collection of John Wild : first series / | 286 views | 1930
In my tower, | 285 views | 1924
Brief guide to the Persian woven fabrics / | 285 views | 1928
A Dryden library, a catalogue of printed books, manuscripts and autograph letters by John Dryden / | 284 views | 1930
Dokumente zur Causa Lutheri (1517-1521) / | 284 views | 9999
The Children's hour / | 283 views | 1954
Secret service, | 283 views | 1930
Archivum franciscanum historicum. | 283 views | 1932
How to see Cambridge; a really useful and interesting guide to the town & university, | 283 views | 1928
Yank : the army weekly. | 282 views | 1945
Holding companies and their published accounts / | 282 views | 1923
Canada's great highway: from the first stake to the last spike. | 282 views | 1924
Marii Victorini Opera. | 282 views | 1986
World war records : First division, A.E.F., regular. | 282 views | 1928
Deutsches Geschlechterbuch (Genealogishes Handbuch Burgerlicher Familien) | 281 views | no valid date
Register, 1847-1923. | 281 views | 1923
Calendar of the close rolls preserved in the Public Record Office. | 281 views | 1941
The care and feeding of garden plants, | 281 views | 1954
Turkey to-day, | 280 views | 1928
The romance of soldiering and sport. | 280 views | 1925
Virgil's epic technique / | 280 views | 1993
Facsimiles of early charters from Northamptonshire collections. | 280 views | 1930
Adam Mickiewicz in world literature; a symposium. | 280 views | 1956
The Encyclopedia of mental health / | 280 views | 1963
Proceedings before the justices of the peace in the fourteenth and fifteenth centuries, Edward III to Richard III. | 279 views | 1938
Sixteenth-century maps relating to Canada : a check-list and bibliography. | 279 views | 1956
Spirits, fairies, gnomes, and goblins : an encyclopedia of the little people / | 279 views | 1996
ERS. | 279 views | 1977
Tutti i papi : attraverso le curiosita e gli aneddoti / | 279 views | 1933
Die Umschau. | 278 views | 1932
Journal of the Institute of Metals | 278 views | 1968
A treasury of the theatre. | 278 views | 1951
Old manor houses | 277 views | 1923
Thesaurus dictionary English-Pilipino, 1938-1966. | 277 views | 1970
The profession of an accountant : characteristics, etiquette, registration, recognition and some notes on the legal profession (with appendices) / | 277 views | 1925
Les corps célestes dans l'univers de saint Thomas d'Aquin. | 277 views | 1963
Lists of men-of-war, 1650-1700. | 276 views | 1935
Source records of the great war : a comprehensive and readable source record of the world's great war, emphasizing the more important events, and presenting these as complete narratives in the actual words of the chief officials and most eminent leaders ... presenting documents from government archives and other authoritative sources, with outline narratives, indices, chronologies, and courses of reading on sociological movements and individual national activities / | 276 views | 1923
Der Eisenbahnbau : Ausgenommen Vorarbeiten, Unterbau und Tunnelbau / | 276 views | 1923
Sancti Aurelii Augustini Sermones in Matthaeum / | 275 views | 9999
Growing with books, a reading guide | 275 views | 1940
Handbook on prospecting in South Australia. | 275 views | 1952
Philippine literature : through the years / | 274 views | 2000
Special monograph. | 273 views | 9999
Macrobius, or, Philosophy, science and letters in the year 400. | 273 views | 1923
Oeuvres complètes de Georges Scholarios / | 273 views | 1928
Cosimo de' Medici, pater patriae, 1389-1464, | 273 views | 1938
Studies in the philately of Colombia, to which are appended the first postal law of the stamp era and decree in execution thereof. | 273 views | 1940
Ireland for ever, | 273 views | 1932
Basic economics, a book of readings, | 273 views | 1951
Bibliography of baking quality tests (with particular reference to tests for small samples for use by wheat breeders) | 272 views | 1934
Cook's handbook to London. | 272 views | 1926
Writers at work, the Paris review interviews, second series. | 272 views | 1963
The epic of Dunkirk | 271 views | 1941
West Indies; a catalogue of books, maps and engravings, including sections on Guiana, slave trade and buccaneers and pirates. | 271 views | 1929
Nectar in a sieve, a novel. | 270 views | 1954
Choosing a modern house, | 270 views | 1939
My country, my people; poems with love and irony. | 269 views | 1963
Books with men behind them. | 269 views | 1962
Men & books, | 269 views | 1930
Selected poems. | 268 views | 1954
Livestock Catalog, Exhibitors and Entries | 268 views | 1951
German massacres in occupied Czechoslovakia following the attack on  Reinhard Heydrich. | 268 views | 1942
Calendar of entries in the Papal registers relating to Great Britain and Ireland. : Papal letters, 1198- ... / | 268 views | 9999
Calendar of the patent rolls : preserved in the Public Record Office / | 268 views | 1972
Hearing before the United States Commission on Civil Rights. Hearing held in San Antonio, Texas, December 9-14, 1968. | 268 views | 1969
Fifty years in a changing world, | 267 views | 1927
Guide to the Maudslay collection of Maya sculptures (casts and originals) from Central America... | 267 views | 1938
Mental prosperity; essays and poems | 267 views | 1930
De diversis quaestionibus ad Simplicianum / | 267 views | 1970
Die Weltbühne. | 267 views | 1927
Monthly catalog of the United States government publications. | 267 views | no valid date
Principles of mathematics. | 267 views | 1937
British imperialism, an outline of workers' conditions in the colonies. | 267 views | 1929
King Edward VII at Marienbad; political and social life at the Bohemian spas, | 266 views | 1934
Seen in passing; a volume of personal reminiscences, | 266 views | 1929
Theory and practice of the social studies. | 266 views | 1956
Eighteenth century emigrants from the Northern Alsace to America / | 266 views | 1992
Voices of freedom : a documentary history / | 266 views | 2008
The complete works of Geoffrey Chaucer / | 265 views | 9999
Report on the manuscripts of Lord de l'Isle & Dudley preserved at Penshurst place ... | 265 views | 9999
Current research in chronic airways obstruction. | 265 views | 1968
Correspondence course in co-operation : stage I-III. | 265 views | 1933
Wisconsin library bulletin. | 265 views | 1972
Official guide to Glasgow and its neighbourhood by the tramway car routes / | 265 views | 1925
Glossary of mediaeval terms of business, Italian series, 1200-1600 / | 264 views | 1970
Catalogue of extremely choice & valuable books, principally from continental presses ... forming part of the collections removed from Dorchester House ... the property of Lt.-Col. Sir George Holford ... which will be sold at auction ... on Monday, 5th of December, 1927 ... | 264 views | 1927
A report on the study and analysis of truck travel, prepared for the Municipality of Metropolitan Toronto. | 264 views | 1956
Contre les païens / | 264 views | 1977
Règle pastorale / | 263 views | 1992
Aufstieg und Niedergang der römischen Welt; Geschichte und Kultur Roms im Spiegel der neueren Forschung. | 263 views | 9999
Marbletown Reformed Dutch Church, Ulster County, New York, 1737-1944 : baptisms, 1746-1944, marriages, 1796-1930 : Stone Ridge Methodist Church, Ulster County, New York, marriages, 1858-1875, baptisms, 1875-1884 / | 263 views | 1987
The Marxists. | 263 views | 1962
New-Englands rarities discovered: in birds, beasts, fishes, serpents, and plants of that country ... / | 263 views | 1926
Coptic documents in Greek script, | 263 views | 1940
Catalogue of the Royal engineers corps library at the Horse guards, Whitehall, London. | 263 views | 1929
Giovanni's room; a novel. | 262 views | 1956
Calendar of the Fine rolls preserved in the Public record office. | 262 views | 9999
Modern architecture in Europe : a guide to buildings since the Industrial Revolution / | 262 views | 1987
Aufstieg und Niedergang der römischen Welt; Geschichte und Kultur Roms im Spiegel der neueren Forschung. | 262 views | 9999
Ancient, mediaeval and modern : a catalogue of mss. & books being recent acquisitions / | 261 views | 1939
Early constitutional development in Australia / | 261 views | 1934
De libres alas, poesías completas. | 261 views | 1989
Timothy Hackworth and the locomotive, | 261 views | 1923
Bio-inspired innovation and national security / | 261 views | 2010
By sea and by stealth. | 261 views | 1956
York civic records, | 261 views | 9999
Tombs of the courtiers and Oxyrhynkhos, | 261 views | 1925
The Law journal newspaper county court reports. | 260 views | 1947
A clue to the Cretan scripts / | 260 views | 1931
Memories grave and gay of William Fairbairn La Trobe-Bateman ... | 260 views | 1927
From Blue Danube to Shannon, | 260 views | 1934
The house of excellence; the history of Philadelphia's own Market Place. Souvenir of William B. Margerum, Inc., established 1816. | 260 views | 1931
Zheng shi zu pu / | 260 views | 1961
Ashleys of America. | 260 views | 1974
Report of the Judicial Council of Michigan. | 260 views | 1934
A revised handbook of British Lepidoptera. | 259 views | 1928
The laws of Palestine : in force on the 31st day of December 1933 | 259 views | 1934
Colour harmony and contrast, for the use of art students, designers, and decorators; with sixteen plates in colour, and eleven explanatory diagrams, | 259 views | 1924
A handbook to the weapons of war and the chase. | 259 views | 1908
The case worker's desk manual, | 259 views | 1939
The immediate jewel of his soul; a romance. | 259 views | 1969
An account of the construction in the years 1932 to 1934 of the pipe-line of the Iraq petroleum company, limited, from its oilfield in the vicinity of Kirkuk, Iraq, to the Mediterranean ports of Haifa (Palestine) and Tripoli (Lebanon) | 258 views | 1934
Prayer book of pure spiritualism; 50 prayers for all occasions: prayers for general services, special services, personal prayers, | 258 views | 1933
Stream, lake, estuary, and ocean pollution / | 258 views | 1985
Two gentlemen and a lady, | 258 views | 1928
The new vision in the German arts, | 258 views | 1924
[Aristotelous Peri geneseōs kai phthoras (romanized form)]. Aristotle on coming-to-be & passing-away (De generatione et corruptione) | 258 views | 1967
The Maritime Provinces of British North America and the American Revolution / | 258 views | 1941
World war records : First division, A.E.F., regular. | 257 views | 1928
Massachusetts soldiers in the French and Indian wars, 1744-1755 / | 257 views | 1978
Namah'ha-yi siyasi va tarikhi-i Sayyid al-Wuzara' Qa'im Maqam Farahani. | 256 views | 1358
The fields were green: a new view of Bryant, Whittier, Holmes, Lowell, and Longfellos; with a selection of their poems. | 256 views | 1953
The root of all evil, | 256 views | 1941
Die Weltbühne. | 256 views | 1924
Chemistry and technology of fertilizers. | 256 views | 1960
Student directory. | 256 views | 1937
Wisconsin library bulletin. | 256 views | 1963
Brief guide to the western painted, dyed and printed textiles. | 255 views | 1938
Selected tales and poems; | 255 views | 1950
The story of the liner, | 255 views | 1931
Monthly catalog of the United States government publications. | 254 views | no valid date
Field notes on Indonesia ... 1949-1950; | 254 views | 9999
The poet and the poem. | 254 views | 1963
The chronicles of the East India company, trading to China 1635-1834, | 254 views | 1929
Metal aircraft construction, | 254 views | 1941
The social and political systems of central Polynesia, | 254 views | 1924
Napoleon and his family; the story of a Corsican clan, | 253 views | 1929
Pro dva kvadrata : suprematicheskiĭ skaz : v 6-ti postroĭkakh / | 253 views | 1988
Feeling and form : a theory of art developed from Philosophy in a new key / | 253 views | 1953
Catalogue of the exhibition of 17th century art in Europe, 1938 ... | 253 views | 1938
Fombombo, | 252 views | 1923
Contemporary mind | 251 views | 1934
Introduction to robotics : mechanics & control. Solutions Manual. / | 251 views | 1985
Moving along; just a diary, | 251 views | 1934
Industrial archaeology in Britain / | 251 views | 1980
Caesar's conquest of Gaul. | 251 views | 1931
The green sea horse. | 251 views | 1963
Mrs. Keith's crime : a record. | 251 views | 1885
Speeches and documents on the British dominions, 1918-1931; from self-government to national sovereignty; | 250 views | 1932
Nafhaat-i Alaanos Min Hazrat Al-Qudos. | 250 views | 1370
Codicis iuris canonici fontes | 250 views | 1939
The secret of serenity; | 249 views | 1951
General catalog. | 249 views | 1953
Literary history of Hebrew grammarians and lexicographers, | 249 views | 1926
The collected papers of Wilfred Trotter, F. R. S. | 249 views | 1941
Catalogue of the Greek manuscripts in the library of the Laura on Mount Athos, with notices from other libraries, | 249 views | 1925
Privately printed opuscula issued to members of the Sette of Odd Volumes. | 249 views | 9999
A selection of books, manuscripts, bindings, sporting prints and autograph letters remarkable for their interest, rarity & beauty / | 249 views | 1934
What I owe to Christ, | 249 views | 1932
Wisconsin library bulletin. | 249 views | 1968
Diksyunaryo ng wikang Filipino. | 249 views | 1989
Journal of the Institute of Metals | 249 views | 1961
The complete book of emigrants in bondage, 1614-1775 / | 249 views | 1988
Greek civilization / | 248 views | 1961
Wine and the wine lands of the world, with some account of places visited, | 248 views | 1926
Handbook of histopathological techniques (including museum technique) | 248 views | 1963
Girdbad-i shur-i junun : sabk-i Hindi, Kalim-i Kashani va bar guzidah-'i ashàrish. | 247 views | 1366
The Canberra system of school athletics; its approach, basis, organization and results. | 247 views | 1947
"Modern methods and plant for excavations." | 247 views | 1935
Archives d'histoire doctrinale et littéraire du moyen âge. | 247 views | 2000
Boletín de música y artes visuales. | 247 views | 1956
Mitteilungen des Deutschen Archaeologischen Instituts. | 246 views | 9999
The great debates: background, perspective, effects. | 246 views | 1962
Diplomacy, | 246 views | 1929
Report on the supply of electricity in Great Britain; a survey of present-day problems of the industry with proposals for reorganization of electricity distribution. | 246 views | 1936
To Maryland from overseas : a complete digest of the Jacobite Loyalists sold into white slavery in Maryland and the British and Continental background of approximately 1400 Maryland settlers from 1634 to the early Federal period with source documentation / | 245 views | 1985
The fear of the dead in primitive religion; lectures delivered on the William Wyse foundation at Trinity college, Cambridge, | 245 views | 1936
Reminiscences of Lord Kilbracken. | 245 views | 1931
Sargent, | 244 views | 1909
Scouting through, | 244 views | 1930
Housing, 1928-30 ... | 244 views | 1931
The social and political doctrines of contemporary Europe / | 244 views | 1939
The dethronement of the Khedive, | 243 views | 1929
The empire and the papacy, 918-1273, | 243 views | 1932
The voice of man / | 243 views | 1996
Early church art in northern Europe : with special reference to timber construction and decoration / | 243 views | 1928
Sex and culture, | 243 views | 1934
The German fifth column in Poland; | 243 views | 1941
Philosophische Vorträge / | 243 views | 1934
Archivum franciscanum historicum. | 242 views | 1931
Political consequences of the great war, | 242 views | 1932
The diary and will of Elias Ashmole, | 242 views | 1927
Wisconsin library bulletin. | 242 views | 1960
Poland after one year of war. | 241 views | 1940
Sculpture : an essay on stone-cutting : with a preface about God / | 241 views | 1924
The choice : a fable of free trade and protectionism / | 241 views | 2007
Zeks bikher. | 241 views | 1928
The state in its external relations, | 241 views | 1932
Wisconsin library bulletin. | 240 views | 1966
The Registrum antiquissimum of the cathedral church of Lincoln, | 240 views | 9999
Index londinensis to illustrations of flowering plants, ferns and fern allies, being an emended and enlarged edition continued up to the end of the year 1920 of Pritzel's Alphabetical register of representations of flowering plants and ferns compiled from botanical and horticultural publications of the XVIIIth and XIXth centuries; : prepared under the auspices of the Royal horticultural society of London at the Royal botanic gardens, Kew, / | 240 views | 1931
Adult education in the United States of America | 240 views | 1928
Īz̤āḥ / | 239 views | 1363
Archiv für Reformationsgeschichte = Archive for reformation history. | 239 views | 9999
Monthly catalog of the United States government publications. | 239 views | no valid date
Archivum franciscanum historicum. | 239 views | 1950
Revue neurologique. | 239 views | 9999
Opera omnia iussu impensaque / | 239 views | 9999
North Carolina Revolutionary Army accounts : Secretary of State, Treasurer's & Comptroller's papers / | 239 views | 9999
Burma and beyond, | 238 views | 1932
Déné / | 238 views | 1953
The works of John Galt. | 238 views | 1936
Journal of the Institute of Metals | 237 views | 1952
In spite of all, | 237 views | 1944
Germany tells the world, an account of four years of Nazi foreign policy, March, 1933-March, 1937. | 237 views | 1937
Probability and random errors, | 237 views | 1935
The Persians / | 237 views | 1931
A study of Shakespeare. | 237 views | 1965
The early life of Thomas Hardy, 1840-1891, | 237 views | 1928
The lost dominion, | 236 views | 1924
World war records : First division, A.E.F., regular. | 236 views | 1928
The singular preference; portraits & essays. | 236 views | 1953
Top girls / | 236 views | 2008
The art of Benin : a catalogue of an exhibition of the A.W.F. Fuller and Chicago Natural History Museum collections of antiquities from Benin, Nigeria / | 236 views | 1962
Portchester castle, Hampshire. | 236 views | 1933
Memories of bygone Eton, | 235 views | 1928
The fields of group psychotherapy. | 235 views | 1956
Analytic geometry, | 235 views | 1955
A thousand miles of miracle in China, a personal record of God's delivering power from the hands of the imperial Boxers of Shan-si, | 235 views | 1928
The drummer of Fyvie, and other verse. | 235 views | 1926
A commentary on the General prologue to the Canterbury tales / | 235 views | 1948
Modern psychic mysteries, Millesimo castle, Italy, | 235 views | 1929
Javāmi' al-ḥikāyāt va lavāmi' al-rivāyāt. | 235 views | 1363
Codicis iuris canonici fontes | 235 views | 1939
Germany unmasked, | 235 views | 1934
The registers of the parish of Howden, Co. York / | 234 views | 2003
John : a commentary on the Gospel of John / | 234 views | 9999
Ancient earthworks & camps of Somerset, being a collection of over one hundred drawings in wash and line of British, Saxon and Roman camps and earthworks to be found in the county of Somerset, including a number not previously rcorded, | 234 views | 1924
An early draft of Locke's Essay, together with excerpts from his journals, | 233 views | 1936
Recent economic changes in the United States; report of the Committee on Recent Economic Changes, of the President's Conference on Unemployment, Herbert Hoover, chairman, including the reports of a special staff of the National Bureau of Economic Research, inc. ... | 233 views | 1929
A history of freethought in the nineteenth century. | 233 views | 1930
An introduction to Ethiopic Christian literature, | 233 views | 1926
Catalogue of printed books published before 1932, in the library of the Royal Asiatic society. | 233 views | 1940
The works of Susan Ferrier. | 232 views | 1929
A mad world, my masters, and other prose works, | 232 views | 1929
Things past redress | 232 views | 1937
Journal of the Senate of the State of Michigan | 232 views | 1946
The testament of beauty : a poem in four books / | 232 views | 1930
Great Britain and Egypt, 1914-1936. | 232 views | 1936
The nervous mechanism of plants, | 232 views | 1926
William Caxton (1424-1491) / | 232 views | 1925
Prominent men of Canada. | 232 views | 1932
Summary of operations; annual report of the State Oil and Gas Supervisor. | 232 views | 1930
The lilies of eastern Asia : a monograph / | 232 views | 1925
Natural history of British butterflies. | 232 views | 1914
Great traditions in ethics / | 231 views | 2008
Thakore Sahib Shri Sir Daulat Singh of Limbdi, Kathiawar; a biography. | 231 views | 1931
A tallow dip, | 231 views | 1926
Theodoros Anagnostes Kirchengeschichte / | 231 views | 1971
Special monograph. | 231 views | 9999
British imperialism in Malaya, | 230 views | 1926
A crane's foot (or pedigree) of branches of the Gregg, Stuart, Robertson, Dobbs and allied families / | 230 views | 1975
The animals came to drink, | 230 views | 1932
English political thought, 1603-1660, | 230 views | 1938
International abstract of economic statistics, 1919-1930. | 230 views | 1934
SIO reference | 230 views | 9999
The golden age of German literature, | 229 views | 1945
Bulletin of the Brooklyn entomological society. | 229 views | 1965
The art of lettering and its use in divers crafts and trades, the report of a special committee of the British Institute of Industrial Art. | 229 views | 1931
The week; an essay on the origin & development of the seven-day cycle, | 229 views | 1926
Parliamentary logic, | 229 views | 1927
Across the great craterland to the Congo, a sequel to "The wonderland of the eastern Congo." Describing a journey of exploration and research to the land of the giant craters in Tanganyika territory, and to the forests, lakes, and volcanoes of the south-eastern Congo. With some account of the African apes, and the capture and training of the African elephant. | 228 views | 1923
A chronicle of the Carmelites in Persia and the Papal mission of the XVIIth and XVIIIth centuries ... | 228 views | 1939
Survivals of Sasanian & Manichaean art in Persian painting, | 228 views | 1924
The black republic: Liberia; its political and social conditions to-day, | 228 views | 1923
Confessions of an economic heretic / | 228 views | 1938
Good things in England; a practical cookery book for everyday use, containing traditional and regional recipes suited to modern tastes contributed by English men and women between 1399 and 1932 | 228 views | 1936
The school of manners, or Rules for childrens behaviour : at church, at home, at table, in company, in discourse, at school, abroad, and among boys, with some other short and mixt precepts / | 228 views | 1983
English political institutions : an introductory study with introductory chapters on the Constitution, 1910-1938 / | 228 views | 1938
The collected poems of W. H. Davies, 1928. | 227 views | 1929
Sancti Aurelii Augustini De diversis quaestionibus octoginta tribus ; De octo Dulcitii quaestionibus / | 227 views | 1975
Smithsonian scientific series. | 227 views | 1934
U.S. air services. | 227 views | 1927
Druidism, | 227 views | 1924
Shan gao shui chang : Dongbei kang Ri wu er san meng nan si shi zhou nian ji nian wen ji / | 227 views | 9999
Jottings from an active life. | 227 views | 1928
Lo̕rnamento nella̕rchitettura; ornamento scolpito--ornamento dipinto--ornamento nei suoi assiemi. | 226 views | 1927
Fundamentals of clinical fluoroscopy, with essentials of roentgen interpretation. | 226 views | 1951
Corpus Christianorum : clavis patrum Graecorum : qua optimae quaeque scriptorum patrum Graecorum recensiones a primaevis saeculis usque ad octavum commode reclunduntur / | 226 views | 9999
George Lansbury, my father, | 226 views | 1934
Historic Nova Scotia. | 226 views | 1955
Brunel and after, the romance of the Great western railway, | 225 views | 1925
Report to Governor's Council | 225 views | 1955
Pioneers of old Monocacy : the early settlement of Frederick County, Maryland, 1721-1743 / | 225 views | 1987
Butterfly lore / | 225 views | 1923
Tarikh-i Dilgushaye Ewaz. | 225 views | 1370
The reconstruction of religious thought in Islam. | 225 views | 1934
New lamps and ancient lights, | 225 views | 1940
The history of the English novel. | 225 views | 1939
A treatise on money, | 225 views | 1930
The rotary cutting of Douglas fir / | 224 views | 1963
The uncensored Dardanelles, | 224 views | 1928
Enzymes / | 224 views | 1958
The stones of Italy, | 224 views | 1927
A Wiltshire parson and his friends; the correspondence of William Lisle Bowles, | 224 views | 1926
Down the years, | 224 views | 1935
Brahms's orchestral works / | 223 views | 1931
Archivum franciscanum historicum. | 223 views | 1935
Dīvān-i qaṣāìd va ghazalīyāt-i Fārsī va Àrabī-i Adīb Pīshāvarī / bi-jam̀ va taḥshīyah va ta'līqāt-i 'Alī 'Abd al-Rasūlī. | 223 views | 1362
Liszt, Wagner, and the Princess. | 222 views | 1927
World war records : First division, A.E.F., regular. | 222 views | 1928
Lubnān bih rivāyat-i Imām Mūsá Ṣadr va Duktur Chamrān : nigāhī bih tārīkh, janghā-yi dākhilī-i Lubnān. | 222 views | 1364
The further venture book, | 222 views | 1926
Les pontificaux du haut moyen age : gènese du livre de l'évêque / | 222 views | 1998
The origin and development of the moral ideas, | 222 views | 1924
Marriage bonds of Ontario, 1803-1834 / | 221 views | 1985
Analecta bollandiana. | 221 views | 9999
Report by Major G. St. J. Orde Browne, O.B.E., upon labour in the Tanganyika Territory : with a covering despatch from the Governor. | 221 views | 1926
Thrice a stranger | 221 views | 1938
A Chinese-English dictionary in the Cantonese dialect, | 220 views | 1973
Through the wine list, | 220 views | 1924
British North America acts and selected statutes (together with pre-Confederation statutes and documents, a short historical review, a chapter on responsible government and a chapter on the years preceding Confederation; together also with many acts and orders in council relating to Canada and its Provinces; to which has been added the letters patent constituting the office of Governor General of Canada together with the commission and instructions, also the form of commission of an instructions to the Lieutenant-Governors. Abundant notes accompany all these statutes and documents), 1867-1962. | 219 views | 1962
Cases decided in the High Court of Justiciary from 12th September 1916 to [20th June 1925] | 219 views | 1925
The story of the banks, | 219 views | 1934
Suwarrow gold and other stories of the great South sea, | 219 views | 1936
A voyage to Surat in the year 1689 / | 219 views | 1929
Sir Adam Otterburn of Redhall, King's advocate, 1524-1538. | 218 views | 1935
Map of Roman Palestine, | 218 views | 1940
Eighteenth century documents of the Nine partners patent, Dutchess County, New York / | 218 views | 1979
Wisconsin library bulletin. | 218 views | 1955
Buddhist philosophy in India and Ceylon, | 218 views | 1923
Kitāb aḥkām al-Qur'ān / | 218 views | 1338
Report of the Treasurer | 218 views | 1938
Theory and practice of fox ranching / | 217 views | 1926
The National Gallery of Canada : catalogue. | 217 views | 1931
al-Fatwá al-Ḥamawīyah al-kubrá, | 217 views | 1268
Catalogue of the trees & shrubs in the collection of the late Lieut.-Col. Sir George Lindsay Holford...comp. by A. Bruce Jackson, A.L.S. | 217 views | 1927
Tito's plot against Europe; the story of the Rajk conspiracy. | 217 views | 1950
Science in the university, | 216 views | 1944
The diseases and curing of cacao, | 216 views | 1934
The book of motors; | 216 views | 1924
Lake District history. | 216 views | 1925
